prb_id,probe_src,dst_addr,hop,hop_from,hop_to,rtt
237856,18.244.217.30,192.203.230.10,1,18.244.217.30,10.100.99.1,14.108
237856,18.244.217.30,192.203.230.10,2,10.100.99.1,193.90.113.16,43.517
237856,18.244.217.30,192.203.230.10,3,193.90.113.16,10.88.176.55,38.779
237856,18.244.217.30,192.203.230.10,4,10.88.176.55,*,
237856,18.244.217.30,192.203.230.10,5,49.228.5.78,193.90.113.16,26.046
237856,18.244.217.30,192.203.230.10,6,193.90.113.16,192.168.3.1,26.407
237856,18.244.217.30,192.203.230.10,7,192.168.3.1,212.27.35.12,51.031
237856,18.244.217.30,192.203.230.10,8,212.27.35.12,10.186.87.60,17.277
237856,18.244.217.30,192.203.230.10,9,10.186.87.60,*,
237856,18.244.217.30,192.203.230.10,10,193.90.113.16,10.232.129.166,22.113
237856,18.244.217.30,192.203.230.10,11,10.232.129.166,192.168.1.1,44.541
237856,18.244.217.30,192.203.230.10,12,192.168.1.1,192.168.2.1,34.518
237856,18.244.217.30,192.203.230.10,13,192.168.2.1,193.90.113.18,46.6
237856,18.244.217.30,192.203.230.10,14,193.90.113.18,192.203.230.10,127.84
1954213,195.162.16.76,192.203.230.10,1,195.162.16.76,10.181.224.1,49.442
1954213,195.162.16.76,192.203.230.10,2,10.181.224.1,10.179.178.240,15.399
1954213,195.162.16.76,192.203.230.10,3,10.179.178.240,195.0.240.164,33.748
1954213,195.162.16.76,192.203.230.10,4,195.0.240.164,10.8.8.109,51.951
1954213,195.162.16.76,192.203.230.10,5,10.8.8.109,49.228.5.78,19.144
1954213,195.162.16.76,192.203.230.10,6,49.228.5.78,193.90.113.18,17.709
1954213,195.162.16.76,192.203.230.10,7,193.90.113.18,192.203.230.10,80.671
1820740,146.227.57.175,192.203.230.10,1,146.227.57.175,193.75.2.49,11.576
1820740,146.227.57.175,192.203.230.10,2,193.75.2.49,195.0.240.164,21.43
1820740,146.227.57.175,192.203.230.10,3,195.0.240.164,62.115.43.72,45.179
1820740,146.227.57.175,192.203.230.10,4,62.115.43.72,10.181.224.1,39.337
1820740,146.227.57.175,192.203.230.10,5,10.181.224.1,194.149.162.248,33.079
1820740,146.227.57.175,192.203.230.10,6,194.149.162.248,193.90.113.16,54.91
1820740,146.227.57.175,192.203.230.10,7,193.90.113.16,10.10.95.168,22.179
1820740,146.227.57.175,192.203.230.10,8,10.10.95.168,*,
1820740,146.227.57.175,192.203.230.10,9,192.168.3.1,192.203.230.10,147.286
1595604,110.121.42.246,20.157.222.42,1,110.121.42.246,49.228.5.64,38.482
1595604,110.121.42.246,20.157.222.42,2,49.228.5.64,194.149.162.250,7.968
1595604,110.121.42.246,20.157.222.42,3,194.149.162.250,193.90.113.16,35.506
1595604,110.121.42.246,20.157.222.42,4,193.90.113.16,20.157.222.42,79.069
1855992,180.65.96.88,192.203.230.10,1,180.65.96.88,49.228.5.64,22.232
1855992,180.65.96.88,192.203.230.10,2,49.228.5.64,62.115.112.84,16.519
1855992,180.65.96.88,192.203.230.10,3,62.115.112.84,192.203.230.10,86.51
1609955,28.47.25.44,8.8.8.8,1,28.47.25.44,62.115.112.84,28.292
1609955,28.47.25.44,8.8.8.8,2,62.115.112.84,195.0.240.164,20.005
1609955,28.47.25.44,8.8.8.8,3,195.0.240.164,192.168.3.1,26.069
